,abstract_id,sentence_index,attack_successful,divergence,num_changed,num_queries
0,11315821,0,False,,,
1,11315821,1,False,,,
2,11315821,2,False,,1.0,2.0
3,11315821,3,False,,,
4,11315821,4,False,,,
5,11315821,5,False,9.546524233883248e-05,1.0,1.0
6,11315821,6,True,0.122179664671421,1.0,1.0
7,11315821,7,False,,,
8,11315821,8,False,,,
9,11315821,9,False,,,
10,11315821,10,False,2.8790440410375595e-05,1.0,1.0
11,11315821,11,False,,,
12,11315821,12,False,,2.0,3.0
13,11315821,13,False,,1.0,2.0
14,11315821,14,False,1.7083660850403248e-06,1.0,1.0
15,11315821,15,False,,1.0,2.0
16,11315821,16,False,,,
17,12734781,0,False,,,
18,12734781,1,False,,,
19,12734781,2,False,,1.0,2.0
20,12734781,3,False,,,
21,12734781,4,False,,1.0,2.0
22,12734781,5,False,,1.0,2.0
23,12734781,6,False,,,
24,12734781,7,True,,1.0,2.0
25,12734781,8,False,1.0289804777130485e-05,1.0,1.0
26,12734781,9,True,0.0001434222795069,1.0,1.0
27,12734781,10,False,,,
28,12734781,12,False,2.3368406232293642e-07,1.0,1.0
29,12734781,13,False,,,
30,14578243,0,False,,,
31,14578243,1,False,,,
32,14578243,2,False,0.0010195814538747,1.0,1.0
33,14578243,3,False,,,
34,14578243,4,False,,,
35,14578243,5,False,,1.0,2.0
36,14578243,6,False,0.0009666215628385,1.0,1.0
37,14578243,7,False,1.1536147212609649e-05,1.0,1.0
38,14578243,8,False,0.001037711976096,1.0,1.0
39,14578243,9,False,,,
40,14578243,10,False,0.0224783606827259,1.0,1.0
41,14578243,11,False,3.735744030564092e-05,1.0,1.0
42,14578243,12,False,8.246177003456978e-07,1.0,1.0
43,14578243,13,False,,1.0,2.0
44,14578243,14,False,,,
45,14578243,15,False,,,
46,14706058,0,False,,,
47,14706058,1,False,,,
48,14706058,2,False,,1.0,2.0
49,14706058,3,False,,,
50,14706058,6,False,,1.0,2.0
51,14706058,7,False,3.342131549288752e-07,1.0,1.0
52,14706058,8,False,0.0004341376479715,1.0,1.0
53,14706058,10,False,0.0004416927695274,1.0,1.0
54,14706058,11,False,0.0004415930307004,1.0,1.0
55,14706058,12,False,,,
56,14706058,13,False,0.0003779249964281,1.0,1.0
57,14706058,14,False,0.0004351811367087,1.0,1.0
58,14706058,15,False,0.0006217455375008,1.0,1.0
59,14706058,16,False,,1.0,2.0
60,14706058,17,False,,,
61,15205563,0,False,,,
62,15205563,1,False,,,
63,15205563,3,False,8.395491022383794e-05,1.0,1.0
64,15205563,4,False,,,
65,15205563,5,False,,1.0,2.0
66,15205563,6,False,0.000973051704932,1.0,1.0
67,15205563,7,False,0.001181578845717,1.0,1.0
68,15205563,8,False,,,
69,15205563,9,False,0.0100004319101572,1.0,1.0
70,15205563,10,False,,,
71,15205563,11,False,,1.0,2.0
72,15205563,12,False,,,
73,15205563,13,False,0.0003840542922262,1.0,1.0
74,15205563,14,False,0.0003118987660855,1.0,1.0
75,15205563,15,False,5.555657025979599e-06,1.0,1.0
76,15205563,16,False,8.39149743114831e-06,1.0,1.0
77,15205563,17,False,3.9820056372263934e-06,1.0,1.0
78,15205563,18,False,,,
79,15715892,0,False,,,
80,15715892,1,False,,,
