,abstract_id,sentence_index,attack_successful,divergence,num_changed,num_queries
0,1524115,0,False,,,
1,1524115,1,False,,,
2,1524115,2,False,0.0001650114281801,1.0,1.0
3,1524115,3,False,,,
4,1524115,4,False,,,
5,1524115,5,False,,1.0,2.0
6,1524115,6,False,,,
7,1524115,7,False,0.0001986920979106,1.0,1.0
8,1524115,8,False,0.0002765487297438,1.0,1.0
9,1524115,9,False,,,
10,1524115,10,False,4.696878022514284e-05,1.0,1.0
11,1524115,11,False,,,
12,1524115,12,False,,,
13,1524115,13,False,,,
14,1882923,0,False,,,
15,1882923,1,False,,,
16,1882923,2,False,,1.0,2.0
17,1882923,3,False,,,
18,1882923,4,False,,,
19,1882923,5,False,,2.0,3.0
20,1882923,6,True,,1.0,2.0
21,1882923,7,False,,1.0,2.0
22,1882923,9,False,,,
23,1882923,10,False,,2.0,3.0
24,1882923,11,False,,,
25,8123096,0,False,,,
26,8123096,1,False,,,
27,8123096,2,False,,2.0,3.0
28,8123096,3,False,,,
29,8123096,4,False,,,
30,8123096,5,False,0.0002859228989109,1.0,1.0
31,8123096,6,False,0.000333974167006,1.0,1.0
32,8123096,7,False,,1.0,2.0
33,8123096,8,False,0.0011806593975052,1.0,1.0
34,8123096,9,False,,,
35,8123096,10,False,,,
36,8123096,11,False,,,
37,8123096,12,False,,,
38,8123096,13,False,0.0011500007240101,1.0,1.0
39,8123096,14,False,0.0006307894363999,1.0,1.0
40,8123096,16,False,,2.0,3.0
41,8123096,17,False,,,
42,8628544,0,False,,,
43,8628544,1,False,,,
44,8628544,2,False,,3.0,4.0
45,8628544,3,False,0.0003589125990401,1.0,1.0
46,8628544,4,False,,,
47,8628544,5,False,,,
48,8628544,6,False,,2.0,3.0
49,8628544,7,False,,1.0,2.0
50,8628544,8,False,,,
51,8628544,9,False,,,
52,8628544,10,False,,1.0,2.0
53,8628544,11,False,,1.0,2.0
54,8628544,12,False,,1.0,2.0
55,8628544,13,False,,2.0,3.0
56,8628544,14,False,8.694155440025497e-08,1.0,1.0
57,8628544,15,False,3.4526967951364887e-09,1.0,1.0
58,8628544,16,False,1.4507768355542794e-06,1.0,1.0
59,8628544,17,False,,,
60,8628544,18,False,,1.0,2.0
61,8628544,19,False,,,
62,8694726,0,False,,,
63,8694726,1,False,,,
64,8694726,2,False,,2.0,3.0
65,8694726,3,False,,,
66,8694726,4,False,,,
67,8694726,6,False,,,
68,8694726,7,False,,1.0,2.0
69,8694726,8,False,0.0011541377753019,1.0,1.0
70,8694726,9,True,,1.0,2.0
71,8694726,10,False,0.0003940991009585,1.0,1.0
72,8694726,11,False,,1.0,2.0
73,8694726,12,False,,1.0,2.0
74,8694726,13,False,,1.0,2.0
75,8694726,14,False,7.000521122790815e-07,1.0,1.0
76,8694726,15,False,,1.0,2.0
77,8694726,16,False,,1.0,2.0
78,8694726,17,False,,,
79,9230823,0,False,,,
80,9230823,1,False,,,
81,9230823,2,False,,2.0,3.0
82,9230823,3,False,,,
83,9230823,4,False,0.0009388945181854,1.0,1.0
84,9230823,5,False,,,
85,9230823,8,False,,,
86,9230823,9,False,,2.0,3.0
87,9230823,10,False,,,
88,9230823,11,True,,1.0,2.0
89,9230823,12,False,,,
90,9230823,13,False,,,
91,9230823,14,False,,1.0,2.0
92,9230823,15,False,,1.0,2.0
93,9230823,16,False,,1.0,2.0
94,9230823,18,False,0.0005916111986152,1.0,1.0
95,9230823,19,False,,5.0,6.0
96,9230823,20,False,,1.0,2.0
97,9230823,21,False,,,
98,9230823,22,False,7.609256863361225e-05,1.0,1.0
